Time (s),White pixels,Mean Brightness
308.733000,0.179291,50.196078
309.233000,0.174255,50.196078
309.734000,0.184326,50.196078
310.233000,0.174255,50.196078
310.733000,0.177002,50.392157
311.233000,0.177383,50.196078
311.734000,0.180054,50.000000
312.233000,0.174561,50.196078
312.733000,0.176849,50.392157
313.233000,0.177917,50.196078
313.734000,0.177765,50.196078
314.235000,0.184555,50.196078
314.734000,0.176544,50.196078
315.234000,0.181732,50.196078
315.733000,0.178146,50.196078
316.233000,0.181351,50.196078
316.734000,0.184555,50.196078
317.234000,0.181656,50.196078
317.734000,0.179825,50.196078
318.234000,0.185013,50.392157
318.734000,0.185394,50.196078
319.234000,0.178680,50.196078
319.733000,0.178680,50.196078
320.233000,0.180893,50.196078
320.734000,0.178757,50.196078
321.233000,0.178528,50.000000
321.733000,0.182190,50.392157
322.234000,0.180283,50.196078
322.733000,0.179367,50.196078
323.234000,0.184937,50.392157
323.734000,0.162048,50.196078
324.234000,0.171509,50.196078
324.733000,0.184860,50.196078
325.233000,0.186386,50.196078
325.734000,0.186615,50.196078
326.234000,0.186386,50.196078
326.734000,0.186081,50.392157
327.235000,0.175247,50.196078
327.733000,0.188904,50.196078
328.234000,0.185089,50.196078
328.734000,0.181961,50.392157
329.234000,0.173721,50.196078
329.734000,0.176086,50.196078
330.233000,0.171890,50.196078
330.735000,0.156631,50.196078
331.234000,0.168533,50.196078
331.733000,0.179596,50.196078
332.234000,0.175781,50.196078
332.734000,0.161285,50.196078
333.234000,0.151062,50.196078
333.733000,0.175476,50.392157
334.234000,0.160980,50.196078
334.734000,0.170517,50.196078
335.234000,0.162964,50.196078
335.734000,0.149918,50.196078
336.234000,0.153198,50.196078
336.734000,0.154495,50.196078
337.234000,0.155411,50.392157
337.735000,0.137405,50.196078
338.234000,0.144119,50.196078
338.735000,0.146561,50.196078
339.234000,0.157776,50.000000
339.734000,0.146866,50.196078
340.236000,0.133362,50.196078
340.733000,0.152740,50.196078
341.235000,0.135193,50.196078
341.734000,0.138016,50.196078
342.234000,0.142365,50.392157
342.734000,0.133362,50.196078
343.234000,0.138168,50.196078
343.734000,0.132141,50.196078
344.234000,0.130997,50.196078
344.734000,0.122299,50.196078
345.234000,0.129318,50.196078
345.734000,0.122223,50.196078
346.233000,0.122833,50.196078
346.733000,0.127258,50.196078
347.234000,0.125504,50.196078
347.735000,0.142212,50.196078
348.234000,0.143509,50.196078
348.733000,0.121994,50.196078
349.233000,0.132523,50.196078
349.733000,0.140152,50.196078
350.233000,0.131226,50.196078
350.735000,0.153580,50.196078
351.233000,0.144958,50.196078
351.733000,0.149231,50.196078
352.234000,0.149689,50.196078
352.733000,0.148239,50.196078
353.233000,0.149384,50.196078
353.734000,0.150757,50.196078
354.234000,0.155334,50.196078
354.733000,0.150681,50.196078
355.234000,0.161438,50.196078
355.734000,0.162659,50.196078
356.234000,0.176086,50.196078
356.734000,0.169601,50.392157
357.233000,0.165558,50.196078
357.734000,0.168533,50.196078
358.235000,0.178757,50.196078
358.734000,0.172424,50.196078
359.233000,0.162125,50.196078
359.734000,0.171814,50.196078
360.235000,0.182190,50.196078
360.734000,0.171356,50.196078
361.233000,0.174408,50.196078
361.734000,0.178757,50.196078
362.233000,0.175476,50.196078
362.733000,0.181580,50.196078
363.234000,0.179291,50.196078
363.733000,0.180969,50.196078
364.234000,0.181808,50.196078
364.734000,0.177155,50.196078
365.234000,0.178452,50.196078
365.733000,0.181122,50.196078
366.233000,0.178986,50.196078
366.733000,0.179062,50.196078
367.233000,0.180664,50.196078
367.733000,0.182495,50.196078
368.234000,0.181427,50.196078
368.734000,0.169525,50.392157
369.233000,0.178299,50.196078
369.734000,0.178986,50.196078
370.234000,0.180054,50.196078
370.733000,0.178070,50.000000
371.234000,0.176010,50.196078
371.735000,0.158005,50.196078
372.233000,0.180664,50.196078
372.734000,0.180893,50.196078
373.234000,0.169449,50.196078
373.735000,0.176849,50.196078
374.235000,0.176086,50.196078
374.735000,0.175476,50.196078
375.233000,0.173416,50.196078
375.733000,0.170441,50.196078
376.233000,0.176163,50.392157
376.734000,0.176620,50.196078
377.234000,0.178375,50.196078
377.734000,0.173340,50.196078
378.234000,0.168762,50.196078
378.734000,0.169525,50.196078
379.234000,0.171509,50.392157
379.734000,0.164108,50.196078
380.233000,0.157547,50.196078
380.733000,0.159836,50.196078
381.233000,0.160599,50.196078
381.733000,0.153580,50.392157
382.235000,0.171661,50.196078
382.733000,0.147171,50.196078
383.233000,0.140686,50.196078
383.734000,0.140076,50.196078
384.234000,0.150833,50.196078
384.733000,0.131531,50.196078
385.233000,0.125198,50.196078
385.734000,0.126724,50.196078
386.234000,0.135117,50.196078
386.733000,0.120010,50.196078
387.234000,0.121918,50.196078
387.733000,0.121918,50.196078
388.234000,0.126190,50.196078
388.734000,0.127411,50.196078
389.235000,0.119858,50.196078
389.734000,0.126953,50.196078
390.233000,0.137405,50.196078
390.734000,0.129013,50.196078
391.235000,0.127335,50.196078
391.733000,0.144501,50.196078
392.234000,0.149460,50.196078
392.734000,0.153275,50.196078
393.234000,0.157623,50.196078
393.735000,0.143661,50.196078
394.234000,0.164795,50.196078
394.733000,0.177231,50.196078
395.234000,0.177689,50.196078
395.734000,0.179672,50.196078
396.233000,0.176849,50.196078
396.733000,0.174484,50.196078
397.234000,0.169373,50.392157
397.733000,0.154953,50.196078
398.235000,0.169144,50.196078
398.733000,0.142288,50.196078
399.234000,0.143661,50.196078
399.733000,0.130997,50.196078
400.234000,0.126419,50.196078
400.734000,0.123215,50.196078
401.233000,0.128326,50.196078
401.733000,0.135422,50.196078
402.233000,0.137939,50.196078
402.734000,0.147858,50.196078
403.234000,0.144730,50.196078
403.734000,0.146637,50.196078
404.233000,0.166168,50.196078
404.733000,0.176086,50.196078
405.234000,0.177307,50.196078
405.734000,0.177917,50.392157
406.233000,0.171051,50.196078
406.734000,0.172577,50.392157
407.235000,0.171356,50.196078
407.734000,0.170746,50.196078
408.233000,0.146408,50.196078
408.733000,0.136261,50.196078
409.234000,0.152435,50.196078
409.734000,0.132370,50.196078
410.234000,0.122375,50.196078
410.733000,0.119629,50.196078
411.233000,0.128403,50.196078
411.733000,0.127563,50.196078
412.233000,0.135345,50.196078
412.734000,0.124741,50.196078
413.234000,0.143661,50.392157
413.734000,0.148010,50.196078
414.234000,0.152283,50.392157
414.733000,0.153351,50.196078
415.235000,0.151672,50.196078
415.733000,0.174866,50.196078
416.234000,0.174713,50.196078
416.733000,0.176773,50.196078
417.233000,0.172119,50.196078
417.733000,0.167847,50.196078
418.233000,0.167923,50.196078
418.733000,0.166016,50.196078
419.233000,0.158539,50.196078
419.734000,0.158691,50.392157
420.235000,0.163422,50.196078
420.733000,0.144653,50.196078
421.234000,0.150681,50.196078
421.734000,0.143356,50.196078
422.234000,0.135422,50.196078
422.734000,0.142288,50.196078
423.233000,0.120697,50.196078
423.735000,0.139465,50.196078
424.234000,0.131683,50.196078
424.735000,0.132370,50.196078
425.234000,0.120621,50.196078
425.733000,0.130539,50.196078
426.233000,0.137863,50.196078
426.734000,0.132599,50.196078
427.234000,0.129547,50.196078
427.734000,0.146790,50.196078
428.234000,0.142822,50.196078
428.734000,0.151901,50.392157
429.233000,0.153885,50.196078
429.733000,0.160980,50.000000
430.234000,0.156021,50.196078
430.734000,0.155182,50.196078
431.234000,0.160141,50.196078
431.733000,0.179596,50.196078
432.235000,0.156326,50.196078
432.733000,0.177841,50.196078
433.233000,0.178452,50.196078
433.733000,0.180359,50.392157
434.234000,0.175552,50.392157
434.734000,0.177002,50.196078
435.234000,0.170135,50.196078
435.734000,0.177765,50.196078
436.234000,0.178757,50.196078
436.733000,0.176544,50.196078
437.233000,0.174942,50.196078
437.733000,0.172806,50.196078
438.235000,0.172424,50.196078
438.734000,0.176315,50.196078
439.233000,0.178375,50.392157
439.733000,0.167389,50.196078
440.233000,0.170746,50.196078
440.733000,0.170517,50.196078
441.233000,0.167465,50.196078
441.734000,0.167770,50.196078
442.234000,0.175171,50.392157
442.733000,0.171204,50.392157
443.233000,0.161667,50.196078
443.732000,0.158386,50.196078
444.234000,0.166245,50.196078
444.734000,0.167542,50.196078
445.234000,0.157852,50.392157
445.733000,0.148392,50.000000
446.234000,0.152893,50.196078
446.734000,0.146561,50.196078
447.233000,0.145721,50.392157
447.734000,0.140152,50.196078
448.234000,0.151443,50.196078
448.734000,0.138931,50.196078
449.234000,0.142899,50.196078
